miRNA	Gene	Gene ID	Ensembl.ID
1	hsa-miR-122-5p	SLC7A1	6541	ENSG00000139514
2	hsa-miR-122-5p	ADAM17	6868	ENSG00000151694
3	hsa-miR-122-5p	NUMBL	9253	ENSG00000105245
4	hsa-miR-122-5p	EGLN3	112399	ENSG00000129521
5	hsa-miR-122-5p	TRIB1	10221	ENSG00000173334
6	hsa-miR-122-5p	SLC7A11	23657	ENSG00000151012
7	hsa-miR-122-5p	FOXJ3	22887	ENSG00000198815
8	hsa-miR-122-5p	XPO6	23214	ENSG00000169180
9	hsa-miR-122-5p	AP3M2	10947	ENSG00000070718
10	hsa-miR-122-5p	G6PC3	92579	ENSG00000141349
11	hsa-miR-122-5p	GALNT10	55568	ENSG00000164574
12	hsa-miR-122-5p	DSTYK	25778	ENSG00000133059
13	hsa-miR-122-5p	TPD52L2	7165	ENSG00000101150
14	hsa-miR-122-5p	AKT3	10000	ENSG00000117020
15	hsa-miR-122-5p	FUNDC2	65991	ENSG00000165775
16	hsa-miR-122-5p	MAPK11	5600	ENSG00000185386
17	hsa-miR-122-5p	FAM117B	150864	ENSG00000138439
18	hsa-miR-122-5p	ATP1A2	477	ENSG00000018625
19	hsa-miR-122-5p	DUSP2	1844	ENSG00000158050
20	hsa-miR-122-5p	AACS	65985	ENSG00000081760
21	hsa-miR-122-5p	TBX19	9095	ENSG00000143178
22	hsa-miR-122-5p	UBAP2	55833	ENSG00000137073
23	hsa-miR-122-5p	NCAM1	4684	ENSG00000149294
24	hsa-miR-122-5p	MECP2	4204	ENSG00000169057
25	hsa-miR-122-5p	FOXP1	27086	ENSG00000114861
26	hsa-miR-122-5p	RAB11FIP1	80223	ENSG00000156675
27	hsa-miR-122-5p	RAB6B	51560	ENSG00000154917
28	hsa-miR-122-5p	ALDOA	226	ENSG00000149925
29	hsa-miR-122-5p	ANXA11	311	ENSG00000122359
30	hsa-miR-122-5p	ENTPD4	9583	ENSG00000197217
31	hsa-miR-122-5p	NFATC2IP	84901	ENSG00000176953
32	hsa-miR-122-5p	ANK2	287	ENSG00000145362
33	hsa-miR-122-5p	GYS1	2997	ENSG00000104812
34	hsa-miR-519b-3p	ELAVL1	1994	ENSG00000066044
35	hsa-miR-519c-3p	ELAVL1	1994	ENSG00000066044
36	hsa-miR-519a-3p	ELAVL1	1994	ENSG00000066044
37	kshv-miR-K12-5-3p	BCLAF1	9774	ENSG00000029363
38	hsa-miR-15a-5p	BRCA1	672	ENSG00000012048
39	hsa-miR-16-5p	BRCA1	672	ENSG00000012048
40	hsa-miR-143-3p	FNDC3B	64778	ENSG00000075420
41	hsa-miR-128-3p	E2F3	1871	ENSG00000112242
42	hsa-miR-144-3p	PLAG1	5324	ENSG00000181690
43	hsa-miR-375	PLAG1	5324	ENSG00000181690
44	hsa-miR-29a-3p	S100B	6285	ENSG00000160307
45	hsa-miR-29b-3p	S100B	6285	ENSG00000160307
46	hsa-miR-21-5p	PDCD4	27250	ENSG00000150593
47	hsa-miR-29a-3p	IMPDH1	3614	ENSG00000106348
48	hsa-miR-124-3p	RDH10	157506	ENSG00000121039
49	hsa-let-7i-5p	TLR4	7099	ENSG00000136869
50	hsa-miR-125a-5p	LIN28A	79727	ENSG00000131914
51	hsa-miR-106b-5p	E2F1	1869	ENSG00000101412
52	hsa-miR-106b-5p	CDKN1A	1026	ENSG00000124762
53	hsa-miR-32-5p	BCL2L11	10018	ENSG00000153094
54	hsa-miR-338-3p	ZBTB18	10472	ENSG00000179456
55	hsa-miR-338-3p	DAB2IP	153090	ENSG00000136848
56	hsa-miR-338-3p	MAP1A	4130	ENSG00000166963
57	hsa-miR-338-3p	NOVA1	4857	ENSG00000139910
58	hsa-miR-338-3p	UBE2Q1	55585	ENSG00000160714
59	hsa-miR-181b-5p	VSNL1	7447	ENSG00000163032
60	hsa-miR-181b-5p	GRIA2	2891	ENSG00000120251
61	hsa-miR-203a-3p	ABL1	25	ENSG00000097007
62	hsa-miR-92a-3p	ITGA5	3678	ENSG00000161638
63	hsa-miR-29b-3p	DNMT3A	1788	ENSG00000119772
64	hsa-miR-29c-3p	DNMT3A	1788	ENSG00000119772
65	hsa-miR-29a-3p	DNMT3B	1789	ENSG00000088305
66	hsa-miR-29b-3p	DNMT3B	1789	ENSG00000088305
67	hsa-miR-29c-3p	DNMT3B	1789	ENSG00000088305
68	hsa-miR-17-5p	RUNX1	861	ENSG00000159216
69	hsa-miR-20a-5p	RUNX1	861	ENSG00000159216
70	hsa-miR-106a-5p	RUNX1	861	ENSG00000159216
71	hsa-miR-29a-3p	DNMT3A	1788	ENSG00000119772
72	hsa-miR-221-3p	CDKN1B	1027	ENSG00000111276
73	hsa-miR-222-3p	CDKN1B	1027	ENSG00000111276
74	hsa-miR-17-5p	MEF2D	4209	ENSG00000116604
75	hsa-miR-17-5p	BCL2	596	ENSG00000171791
76	hsa-miR-17-5p	MAP3K12	7786	ENSG00000139625
77	hsa-miR-20a-5p	MEF2D	4209	ENSG00000116604
78	hsa-miR-20a-5p	BCL2	596	ENSG00000171791
79	hsa-miR-20a-5p	MAP3K12	7786	ENSG00000139625
80	hsa-miR-320a	TFRC	7037	ENSG00000072274
81	hsa-miR-155-5p	TP53INP1	94241	ENSG00000164938
82	hsa-miR-130a-3p	TAC1	6863	ENSG00000006128
83	hsa-miR-206	TAC1	6863	ENSG00000006128
84	hsa-miR-320a	TAC1	6863	ENSG00000006128
85	hsa-miR-126-3p	CRK	1398	ENSG00000167193
86	hsa-miR-429	RERE	473	ENSG00000142599
87	hsa-miR-200b-3p	RERE	473	ENSG00000142599
88	hsa-let-7c-5p	MYC	4609	ENSG00000136997
89	hsa-miR-16-5p	BCL2	596	ENSG00000171791
90	hsa-miR-23a-3p	HES1	3280	ENSG00000114315
91	hsa-miR-22-3p	ESR1	2099	ENSG00000091831
92	hsa-miR-22-3p	PPARA	5465	ENSG00000186951
93	hsa-miR-27a-3p	SP1	6667	ENSG00000185591
94	hsa-miR-27a-3p	SP3	6670	ENSG00000172845
95	hsa-miR-27a-3p	SP4	6671	ENSG00000105866
96	kshv-miR-K12-11-3p	LDOC1	23641	ENSG00000182195
97	kshv-miR-K12-11-3p	MATR3	9782	ENSG00000015479
98	kshv-miR-K12-11-3p	TM6SF1	53346	ENSG00000136404
99	hsa-miR-24-3p	ACVR1B	91	ENSG00000135503
100	hsa-miR-29c-3p	FBN1	2200	ENSG00000166147
101	hsa-miR-199a-5p	IKBKB	3551	ENSG00000104365
102	hsa-miR-125b-5p	NTRK3	4916	ENSG00000140538
103	hsa-let-7a-5p	HMGA2	8091	ENSG00000149948
104	hsa-let-7c-5p	HMGA2	8091	ENSG00000149948
105	hsa-miR-124-3p	CEBPA	1050	ENSG00000245848
106	hsa-miR-7-5p	IRS2	8660	ENSG00000185950
107	hsa-miR-7-5p	IRS1	3667	ENSG00000169047
108	hsa-miR-7-5p	EGFR	1956	ENSG00000146648
109	hsa-miR-16-5p	CCND1	595	ENSG00000110092
110	hsa-miR-34a-5p	SIRT1	23411	ENSG00000096717
111	hsa-let-7g-5p	HMGA2	8091	ENSG00000149948
112	hsa-miR-21-5p	NFIB	4781	ENSG00000147862
113	hsa-miR-221-3p	TNFSF10	8743	ENSG00000121858
114	hsa-miR-222-3p	TNFSF10	8743	ENSG00000121858
115	hsa-miR-9-5p	NTRK3	4916	ENSG00000140538
116	hsa-miR-125a-5p	NTRK3	4916	ENSG00000140538
117	hsa-miR-378a-5p	SUFU	51684	ENSG00000107882
118	hsa-miR-378a-5p	TUSC2	11334	ENSG00000114383
119	hsa-let-7a-5p	VDR	7421	ENSG00000111424
120	hsa-let-7a-5p	NR1I2	8856	ENSG00000144852
121	hsa-let-7a-5p	FOXA1	3169	ENSG00000129514
122	hsa-let-7a-5p	TRIM71	131405	ENSG00000206557
123	hsa-let-7c-5p	TRIM71	131405	ENSG00000206557
124	hsa-let-7a-5p	trim71	561754	NA
125	hsa-let-7a-5p	lin-41	172760	NA
126	hsa-miR-210-3p	EFNA3	1944	ENSG00000143590
127	hsa-miR-10b-5p	HOXD10	3236	ENSG00000128710
128	hsa-miR-24-3p	DHFR	1719	ENSG00000228716
129	hsa-miR-29b-3p	MCL1	4170	ENSG00000143384
130	mmu-miR-30e-3p	MRPS30	10884	ENSG00000112996
131	mmu-miR-30e-3p	NPFFR2	10886	ENSG00000056291
132	mmu-miR-30e-3p	SPATA19	219938	ENSG00000166118
133	hsa-miR-155-5p	AGTR1	185	ENSG00000144891
134	hsa-let-7d-5p	HMGA2	8091	ENSG00000149948
135	hsa-miR-155-5p	BACH1	571	ENSG00000156273
136	hsa-miR-22-3p	BMP7	655	ENSG00000101144
137	hcmv-miR-UL112-3p	MICB	4277	ENSG00000204516
138	hcmv-miR-UL112-3p	MICA	100507436	ENSG00000204520
139	hsa-let-7a-5p	wech	44653	NA
140	hsa-miR-182-5p	ADCY6	112	ENSG00000174233
141	hsa-miR-96-5p	ADCY6	112	ENSG00000174233
142	hsa-miR-182-5p	MITF	4286	ENSG00000187098
143	hsa-miR-96-5p	MITF	4286	ENSG00000187098
144	hsa-miR-1-3p	HSPD1	3329	ENSG00000144381
145	hsa-miR-1-3p	HSPA4	3308	ENSG00000170606
146	hsa-miR-133a-3p	CASP9	842	ENSG00000132906
