miRNA	Gene	Gene ID	Ensembl.ID
1	hsa-miR-20a-5p	HIF1A	3091	ENSG00000100644
2	hsa-miR-146a-5p	CXCR4	7852	ENSG00000121966
3	hsa-miR-122-5p	CYP7A1	1581	ENSG00000167910
4	hsa-miR-222-3p	STAT5A	6776	ENSG00000126561
5	hsa-miR-21-5p	RASGRP1	10125	ENSG00000172575
6	hsa-miR-148a-3p	DNMT1	1786	ENSG00000130816
7	hsa-miR-93-5p	TP53INP1	94241	ENSG00000164938
8	hsa-miR-9-5p	MMP13	4322	ENSG00000137745
9	hsa-miR-9-5p	REST	5978	ENSG00000084093
10	hsa-miR-9-5p	CDH1	999	ENSG00000039068
11	hsa-miR-765	NTRK3	4916	ENSG00000140538
12	hsa-miR-7-5p	SNCA	6622	ENSG00000145335
13	hsa-miR-661	MTA1	9112	ENSG00000182979
14	hsa-miR-659-3p	GRN	2896	ENSG00000030582
15	hsa-miR-562	EYA1	2138	ENSG00000104313
16	hsa-miR-559	ERBB2	2064	ENSG00000141736
17	hsa-miR-548d-3p	ERBB2	2064	ENSG00000141736
18	hsa-miR-532-5p	RUNX3	864	ENSG00000020633
19	hsa-miR-504-5p	DRD1	1812	ENSG00000184845
20	hsa-miR-485-3p	NTRK3	4916	ENSG00000140538
21	hsa-miR-451a	MIF	4282	ENSG00000240972
22	hsa-miR-429	ZEB2	9839	ENSG00000169554
23	hsa-miR-375	TIMM8A	1678	ENSG00000126953
24	hsa-miR-375	MTPN	136319	ENSG00000105887
25	hsa-miR-375	PDK1	5163	ENSG00000152256
26	hsa-miR-373-3p	RAD23B	5887	ENSG00000119318
27	hsa-miR-372-3p	WEE1	7465	ENSG00000166483
28	hsa-miR-372-3p	TRPS1	7227	ENSG00000104447
29	hsa-miR-372-3p	MBNL2	10150	ENSG00000139793
30	hsa-miR-372-3p	KLF13	51621	ENSG00000169926
31	hsa-miR-34b-5p	BCL2	596	ENSG00000171791
32	hsa-miR-34b-5p	CREB1	1385	ENSG00000118260
33	hsa-miR-34a-5p	GRM7	2917	ENSG00000196277
34	hsa-miR-34a-5p	JAG1	182	ENSG00000101384
35	hsa-miR-346	EFEMP2	30008	ENSG00000172638
36	hsa-miR-328-3p	BACE1	23621	ENSG00000186318
37	hsa-miR-328-3p	ABCG2	9429	ENSG00000118777
38	hsa-miR-326	GLI1	2735	ENSG00000111087
39	hsa-miR-31-5p	RHOA	387	ENSG00000067560
40	hsa-miR-302d-3p	TRPS1	7227	ENSG00000104447
41	hsa-miR-302d-3p	MBNL2	10150	ENSG00000139793
42	hsa-miR-302d-3p	KLF13	51621	ENSG00000169926
43	hsa-miR-29b-3p	TGFB3	7043	ENSG00000119699
44	hsa-miR-29b-3p	HDAC4	9759	ENSG00000068024
45	hsa-miR-29b-3p	CTNNBIP1	56998	ENSG00000178585
46	hsa-miR-29b-3p	COL5A3	50509	ENSG00000080573
47	hsa-miR-29b-3p	COL4A2	1284	ENSG00000134871
48	hsa-miR-29b-3p	COL1A1	1277	ENSG00000108821
49	hsa-miR-298	BACE1	23621	ENSG00000186318
50	hsa-miR-26a-5p	HMGA2	8091	ENSG00000149948
51	hsa-miR-26a-5p	HMGA1	3159	ENSG00000137309
52	hsa-miR-26a-5p	CCNE2	9134	ENSG00000175305
53	hsa-miR-26a-5p	CCND2	894	ENSG00000118971
54	hsa-miR-24-3p	FEN1	2237	ENSG00000168496
55	hsa-miR-24-3p	CDK4	1019	ENSG00000135446
56	hsa-miR-24-3p	CCNA2	890	ENSG00000145386
57	hsa-miR-24-3p	AURKB	9212	ENSG00000178999
58	hsa-miR-24-3p	MYC	4609	ENSG00000136997
59	hsa-miR-24-3p	E2F2	1870	ENSG00000007968
60	hsa-miR-223-3p	MEF2C	4208	ENSG00000081189
61	hsa-miR-223-3p	STMN1	3925	ENSG00000117632
62	hsa-miR-223-3p	LMO2	4005	ENSG00000135363
63	hsa-miR-222-3p	CDKN1B	1027	ENSG00000111276
64	hsa-miR-222-3p	SOD2	6648	ENSG00000112096
65	hsa-miR-222-3p	MMP1	4312	ENSG00000196611
66	hsa-miR-221-3p	CDKN1B	1027	ENSG00000111276
67	hsa-miR-221-3p	BCL2L11	10018	ENSG00000153094
68	hsa-miR-221-3p	BMF	90427	ENSG00000104081
69	hsa-miR-217	SIRT1	23411	ENSG00000096717
70	hsa-miR-214-3p	EZH2	2146	ENSG00000106462
71	hsa-miR-210-3p	HOXA9	3205	ENSG00000078399
72	hsa-miR-210-3p	TP53I11	9537	ENSG00000175274
73	hsa-miR-210-3p	PIM1	5292	ENSG00000137193
74	hsa-miR-210-3p	HOXA1	3198	ENSG00000105991
75	hsa-miR-210-3p	FGFRL1	53834	ENSG00000127418
76	hsa-miR-210-3p	RAD52	5893	ENSG00000002016
77	hsa-miR-21-5p	CDC25A	993	ENSG00000164045
78	hsa-miR-21-5p	BCL2	596	ENSG00000171791
79	hsa-miR-21-5p	TM9SF3	56889	ENSG00000077147
80	hsa-miR-21-5p	RTN4	57142	ENSG00000115310
81	hsa-miR-21-5p	RPS7	6201	ENSG00000171863
82	hsa-miR-21-5p	PLOD3	8985	ENSG00000106397
83	hsa-miR-21-5p	NCAPG	64151	ENSG00000109805
84	hsa-miR-21-5p	DERL1	79139	ENSG00000136986
85	hsa-miR-21-5p	BASP1	10409	ENSG00000176788
86	hsa-miR-21-5p	JAG1	182	ENSG00000101384
87	hsa-miR-21-5p	REST	5978	ENSG00000084093
88	hsa-miR-20a-5p	TCEAL1	9338	ENSG00000172465
89	hsa-miR-20a-5p	CCND1	595	ENSG00000110092
90	hsa-miR-20a-5p	E2F1	1869	ENSG00000101412
91	hsa-miR-20a-5p	BMPR2	659	ENSG00000204217
92	hsa-miR-206	MET	4233	ENSG00000105976
93	hsa-miR-204-5p	MEIS1	4211	ENSG00000143995
94	hsa-miR-204-5p	HOXA10	3206	ENSG00000253293
95	hsa-miR-204-5p	BCL2	596	ENSG00000171791
96	hsa-miR-200c-3p	TUBB3	10381	ENSG00000258947
97	hsa-miR-200c-3p	BMI1	648	ENSG00000168283
98	hsa-miR-200b-3p	PTPN12	5782	ENSG00000127947
99	hsa-miR-200a-3p	DLX5	1749	ENSG00000105880
100	hsa-miR-199b-5p	HES1	3280	ENSG00000114315
101	hsa-miR-196a-5p	SPRR2C	6702	NA
102	hsa-miR-196a-5p	S100A9	6280	ENSG00000163220
103	hsa-miR-196a-5p	KRT5	3852	ENSG00000186081
104	hsa-miR-195-5p	WEE1	7465	ENSG00000166483
105	hsa-miR-195-5p	E2F3	1871	ENSG00000112242
106	hsa-miR-195-5p	CDK6	1021	ENSG00000105810
107	hsa-miR-195-5p	CCND1	595	ENSG00000110092
108	hsa-miR-18a-3p	KRAS	3845	ENSG00000133703
109	hsa-miR-181c-5p	NLK	51701	ENSG00000087095
110	hsa-miR-181c-5p	GATA6	2627	ENSG00000141448
111	hsa-miR-181c-5p	CDX2	1045	ENSG00000165556
112	hsa-miR-181b-5p	NLK	51701	ENSG00000087095
113	hsa-miR-181b-5p	GATA6	2627	ENSG00000141448
114	hsa-miR-181b-5p	CDX2	1045	ENSG00000165556
115	hsa-miR-181a-5p	NLK	51701	ENSG00000087095
116	hsa-miR-181a-5p	GATA6	2627	ENSG00000141448
117	hsa-miR-181a-5p	CDX2	1045	ENSG00000165556
118	hsa-miR-17-5p	ZNFX1	57169	ENSG00000124201
119	hsa-miR-17-5p	CCL1	6346	ENSG00000108702
120	hsa-miR-17-5p	GPR137B	7107	ENSG00000077585
121	hsa-miR-17-5p	NABP1	64859	ENSG00000173559
122	hsa-miR-17-5p	NPAT	4863	ENSG00000149308
123	hsa-miR-17-5p	YES1	7525	ENSG00000176105
124	hsa-miR-16-5p	BMI1	648	ENSG00000168283
125	hsa-miR-16-5p	HMGA1	3159	ENSG00000137309
126	hsa-miR-15b-5p	CCNE1	898	ENSG00000105173
127	hsa-miR-15a-5p	BMI1	648	ENSG00000168283
128	hsa-miR-15a-5p	WNT3A	89780	ENSG00000154342
129	hsa-miR-15a-5p	MYB	4602	ENSG00000118513
130	hsa-miR-15a-5p	CDC25A	993	ENSG00000164045
131	hsa-miR-15a-5p	CCND2	894	ENSG00000118971
132	hsa-miR-155-5p	MEIS1	4211	ENSG00000143995
133	hsa-miR-155-5p	TAB2	23118	ENSG00000055208
134	hsa-miR-153-3p	BCL2	596	ENSG00000171791
135	hsa-miR-152-3p	HLA-G	3135	ENSG00000204632
136	hsa-miR-148b-3p	HLA-G	3135	ENSG00000204632
137	hsa-miR-148a-3p	HLA-G	3135	ENSG00000204632
138	hsa-miR-148a-3p	TGIF2	60436	ENSG00000118707
139	hsa-miR-146a-5p	CFH	3075	ENSG00000000971
140	hsa-miR-146a-5p	IRAK2	3656	ENSG00000134070
141	hsa-miR-145-5p	BNIP3	664	ENSG00000176171
142	hsa-miR-145-5p	KLF5	688	ENSG00000102554
143	hsa-miR-145-5p	SOX2	6657	ENSG00000181449
144	hsa-miR-145-5p	KLF4	9314	ENSG00000136826
145	hsa-miR-143-3p	KRAS	3845	ENSG00000133703
146	hsa-miR-141-3p	ZEB2	9839	ENSG00000169554
147	hsa-miR-141-3p	ZEB1	6935	ENSG00000148516
